Region,Year,Predicted_Births_LSTM,Grundskola_Fixed_Cost_per_Child,Grundskola_Current_Cost_per_Child,Gymnasieskola_Fixed_Cost_per_Child,Gymnasieskola_Current_Cost_per_Child,Total_Grundskola_Cost,Total_Gymnasieskola_Cost
19,2032,2742.7717,174348.5124573708,185677.47089862823,149849.5779029131,141364.96098041534,987469078.413505,798734995.8777428
20,2032,2587.8394,174348.5124573708,185677.47089862823,149849.5779029131,141364.96098041534,931689424.7523984,753616457.5751092
21,2032,2463.6462,174348.5124573708,185677.47089862823,149849.5779029131,141364.96098041534,886976645.7962703,717449592.1046644
22,2032,2272.84,174348.5124573708,185677.47089862823,149849.5779029131,141364.96098041534,818281456.0108488,661884052.5555842
23,2032,1260.9093,174348.5124573708,185677.47089862823,149849.5779029131,141364.96098041534,453960110.6552243,367195120.3732005
24,2032,2616.0244,174348.5124573708,185677.47089862823,149849.5779029131,141364.96098041534,941836757.0932872,761824339.3535359
25,2032,2256.9756,174348.5124573708,185677.47089862823,149849.5779029131,141364.96098041534,812569859.8004959,657264108.6249236
1,2033,26142.982,190074.06656718257,209843.310046196,151238.8716750145,143498.73628616333,10455032778.290777,7705319979.652128
3,2033,3779.7312,190074.06656718257,209843.310046196,151238.8716750145,143498.73628616333,1511580185.8077374,1114028932.6242323
4,2033,2793.066,190074.06656718257,209843.310046196,151238.8716750145,143498.73628616333,1116995627.4280229,823221591.717695
5,2033,4588.767,190074.06656718257,209843.310046196,151238.8716750145,143498.73628616333,1835127660.5300434,1352482209.07119
6,2033,3848.3313,190074.06656718257,209843.310046196,151238.8716750145,143498.73628616333,1539014557.8351526,1134247962.0041296
7,2033,2063.694,190074.06656718257,209843.310046196,151238.8716750145,143498.73628616333,825307090.6127697,608248233.1238348
8,2033,2164.0571,190074.06656718257,209843.310046196,151238.8716750145,143498.73628616333,865444038.2735559,637829013.1454034
9,2033,478.8242,190074.06656718257,209843.310046196,151238.8716750145,143498.73628616333,191490117.9229997,141127499.3419246
10,2033,1504.4381,190074.06656718257,209843.310046196,151238.8716750145,143498.73628616333,601650938.2292157,443414486.91965926
12,2033,13085.657,190074.06656718257,209843.310046196,151238.8716750145,143498.73628616333,5233181618.702494,3856835242.780442
13,2033,3097.398,190074.06656718257,209843.310046196,151238.8716750145,143498.73628616333,1238703282.4875257,912919677.4237363
14,2033,18160.191,190074.06656718257,209843.310046196,151238.8716750145,143498.73628616333,7262575943.517888,5352491255.45811
17,2033,2643.274,190074.06656718257,209843.310046196,151238.8716750145,143498.73628616333,1057091203.7503517,779072255.9459743
18,2033,3050.0737,190074.06656718257,209843.310046196,151238.8716750145,143498.73628616333,1219777472.581461,898971426.443299
19,2033,2746.8657,190074.06656718257,209843.310046196,151238.8716750145,143498.73628616333,1098519324.6532717,809604625.8086063
20,2033,2599.8882,190074.06656718257,209843.310046196,151238.8716750145,143498.73628616333,1039740468.4320788,766284829.0344923
21,2033,2474.5142,190074.06656718257,209843.310046196,151238.8716750145,143498.73628616333,989601227.2565533,729332396.1739676
22,2033,2285.7292,190074.06656718257,209843.310046196,151238.8716750145,143498.73628616333,914102825.3125967,673690356.8550167
23,2033,1269.6423,190074.06656718257,209843.310046196,151238.8716750145,143498.73628616333,507752017.8533762,374211334.4683281
24,2033,2632.4014,190074.06656718257,209843.310046196,151238.8716750145,143498.73628616333,1052743062.0813851,775867691.8296558
25,2033,2266.5195,190074.06656718257,209843.310046196,151238.8716750145,143498.73628616333,906420532.4830664,668028535.8273648
1,2034,26112.879,215125.93585610396,248336.85529232025,152776.85073566437,145869.25566196442,12102347786.261072,7798509640.182406
3,2034,3819.446,215125.93585610396,248336.85529232025,152776.85073566437,145869.25566196442,1770171103.8006842,1140662676.4959977
