Region,Age,Year,MortalityCoefficient
8,13,2002,0.00010573059843518714
8,13,2003,0.00010566356720202873
8,13,2004,0.0
8,13,2005,0.0
8,13,2006,0.00011384335154826958
8,13,2007,0.0
8,13,2008,0.0
8,13,2009,0.0
8,13,2010,0.0
8,13,2011,0.0
8,13,2012,0.0
8,13,2013,0.0
8,13,2014,0.0
8,13,2015,0.0
8,13,2016,0.0
8,13,2017,0.0002469745616201531
8,13,2018,0.0
8,13,2019,0.0
8,13,2020,0.00013058239749281798
8,13,2021,0.0
8,13,2022,0.00012851818532322323
8,13,2023,0.0
8,14,2000,0.0
8,14,2001,0.0
8,14,2002,0.00011418131993605846
8,14,2003,0.00011441647597254005
8,14,2004,0.00021691973969631235
8,14,2005,0.00010871928680147858
8,14,2006,0.00011170688114387846
8,14,2007,0.00011420740063956144
8,14,2008,0.0
8,14,2009,0.0
8,14,2010,0.0
8,14,2011,0.0
8,14,2012,0.0
8,14,2013,0.0
8,14,2014,0.00012613521695257316
8,14,2015,0.0
8,14,2016,0.0
8,14,2017,0.0
8,14,2018,0.00024551927326295114
8,14,2019,0.0
8,14,2020,0.0
8,14,2021,0.00012675877804537965
8,14,2022,0.0
8,14,2023,0.00012528188423953897
8,15,2000,0.0004935225169648365
8,15,2001,0.0
8,15,2002,0.0
8,15,2003,0.00011943150603129105
8,15,2004,0.0
8,15,2005,0.00011814744801512288
8,15,2006,0.0
8,15,2007,0.0
8,15,2008,0.0
8,15,2009,0.0002310536044362292
8,15,2010,0.0
8,15,2011,0.0
8,15,2012,0.0
8,15,2013,0.0
8,15,2014,0.00010664391596459421
8,15,2015,0.0
8,15,2016,0.00011724703951225231
8,15,2017,0.0
8,15,2018,0.0
8,15,2019,0.00011618450098756825
8,15,2020,0.00011576753878212549
8,15,2021,0.0
8,15,2022,0.0
8,15,2023,0.0
8,16,2000,0.0
8,16,2001,0.0
8,16,2002,0.00012368583797155226
8,16,2003,0.00012504689258471927
8,16,2004,0.0001294665976178146
8,16,2005,0.0
8,16,2006,0.0
8,16,2007,0.0
8,16,2008,0.00011916110581506196
8,16,2009,0.0
8,16,2010,0.0
8,16,2011,0.0
8,16,2012,0.00022975301550832856
8,16,2013,0.0
8,16,2014,0.0
8,16,2015,0.0
8,16,2016,0.00011418131993605846
8,16,2017,0.0
8,16,2018,0.0
8,16,2019,0.00012698412698412698
8,16,2020,0.0001311131506490101
8,16,2021,0.0001339764201500536
8,16,2022,0.0
8,16,2023,0.000124595066035385
8,17,2000,0.000125344697919278
8,17,2001,0.000117000117000117
8,17,2002,0.00011766090128250382
8,17,2003,0.0002444688913335778
8,17,2004,0.0
8,17,2005,0.00012177301509985388
8,17,2006,0.0005010647626205688
8,17,2007,0.00037165510406342913
8,17,2008,0.0002457908320019663
8,17,2009,0.0003564638783269962
8,17,2010,0.0
8,17,2011,0.0
8,17,2012,0.0001187789523696401
8,17,2013,0.0
8,17,2014,0.0
8,17,2015,0.0
8,17,2016,0.0
8,17,2017,0.0
8,17,2018,0.0
8,17,2019,0.0
8,17,2020,0.0
8,17,2021,0.0
8,17,2022,0.00010654165778819518
8,17,2023,0.0
8,18,2000,0.0
8,18,2001,0.0003515350363252871
8,18,2002,0.0
8,18,2003,0.00011390818999886092
8,18,2004,0.00023215322112594313
8,18,2005,0.0
8,18,2006,0.00011298158400180771
8,18,2007,0.00011609008590666357
8,18,2008,0.0
8,18,2009,0.00035859431030360985
8,18,2010,0.0004954787563483216
8,18,2011,0.0001238083446824316
8,18,2012,0.0003734129947722181
8,18,2013,0.0
8,18,2014,0.00012851818532322323
8,18,2015,0.0
8,18,2016,0.0
8,18,2017,0.00011748120300751879
8,18,2018,0.00011661807580174928
8,18,2019,0.0
8,18,2020,0.00022517451024544022
8,18,2021,0.00011366219595362583
8,18,2022,0.00010706638115631691
8,18,2023,0.00010748065348237318
8,19,2000,0.0
8,19,2001,0.00011291779584462511
8,19,2002,0.00011669973159061734
8,19,2003,0.000365764447695684
8,19,2004,0.0
8,19,2005,0.00012843565373747752
8,19,2006,0.0
8,19,2007,0.00012758356723653993
8,19,2008,0.00024372410431391665
8,19,2009,0.0002439917042820544
8,19,2010,0.00011384335154826958
8,19,2011,0.0005758378440631119
8,19,2012,0.00023863500775563775
8,19,2013,0.00011906179307060365
8,19,2014,0.0
8,19,2015,0.00012217470983506414
8,19,2016,0.0
8,19,2017,0.0
8,19,2018,0.0
8,19,2019,0.0001180080245456691
8,19,2020,0.0
8,19,2021,0.00023046784973496196
8,19,2022,0.0
8,19,2023,0.00011502185415228893
9,0,2000,0.00032109600770630417
9,0,2001,0.00043554006968641115
9,0,2002,0.00021452322213879653
9,0,2003,0.00010938525486764385
9,0,2004,0.000525154920701607
9,0,2005,9.98003992015968e-05
9,0,2006,9.92358836955443e-05
9,0,2007,0.00019948134849391582
9,0,2008,0.00010040160642570282
9,0,2009,0.0002148458481039854
9,0,2010,0.00022024006166721728
9,0,2011,0.00031887755102040814
9,0,2012,0.0004195950907374384
9,0,2013,0.00020652622883106156
9,0,2014,0.0
9,0,2015,0.0
9,0,2016,0.00010879025239338555
9,0,2017,0.00022652622041001246
9,0,2018,0.00011870845204178538
9,0,2019,0.00012174336498660823
9,0,2020,0.0
9,0,2021,0.00011622501162250116
9,0,2022,0.0
9,0,2023,0.0
9,1,2000,0.00012413108242303873
9,1,2001,0.00012970168612191958
9,1,2002,0.0
9,1,2003,0.0
9,1,2004,0.0
9,1,2005,0.0
9,1,2006,0.00011564704521799469
9,1,2007,0.00010979358805445762
9,1,2008,0.00011263798152737103
9,1,2009,0.0
9,1,2010,0.0
9,1,2011,0.0
9,1,2012,0.0
9,1,2013,0.00024813895781637717
9,1,2014,0.00012537612838515547
9,1,2015,0.0
9,1,2016,0.0
9,1,2017,0.0
9,1,2018,0.00013144058885383806
9,1,2019,0.0
9,1,2020,0.0
9,1,2021,0.0
9,1,2022,0.0
9,1,2023,0.0
9,2,2000,0.0
9,2,2001,0.0
9,2,2002,0.0
9,2,2003,0.0
9,2,2004,0.0
9,2,2005,0.0
9,2,2006,0.00012289541600098315
9,2,2007,0.0
9,2,2008,0.0
9,2,2009,0.0
9,2,2010,0.0
9,2,2011,0.0
9,2,2012,0.0
9,2,2013,0.0
9,2,2014,0.0
9,2,2015,0.0
9,2,2016,0.0
9,2,2017,0.0
9,2,2018,0.0
9,2,2019,0.0
9,2,2020,0.0
9,2,2021,0.0
9,2,2022,0.0
9,2,2023,0.0
9,3,2000,0.0
9,3,2001,0.0
9,3,2002,0.00011370096645821489
9,3,2003,0.0
9,3,2004,0.0
9,3,2005,0.0
9,3,2006,0.0
9,3,2007,0.0
9,3,2008,0.0
9,3,2009,0.0
9,3,2010,0.0
9,3,2011,0.0
9,3,2012,0.0
9,3,2013,0.0
9,3,2014,0.0
9,3,2015,0.0
9,3,2016,0.0
9,3,2017,0.0
9,3,2018,0.0
9,3,2019,0.0
9,3,2020,0.0
9,3,2021,0.0
9,3,2022,0.0
9,3,2023,0.0
9,4,2000,0.0
9,4,2001,0.0
9,4,2002,0.0
9,4,2003,0.00013123359580052493
9,4,2004,0.0
9,4,2005,0.0
9,4,2006,0.0
9,4,2007,0.0
9,4,2008,0.0
9,4,2009,0.0
9,4,2010,0.0
9,4,2011,0.0001211827435773146
9,4,2012,0.0
9,4,2013,0.00012542330364981815
9,4,2014,0.0
9,4,2015,0.0
9,4,2016,0.0
9,4,2017,0.0
9,4,2018,0.0
9,4,2019,0.00011097547442015315
9,4,2020,0.0
9,4,2021,0.0
9,4,2022,0.0
9,4,2023,0.0
9,5,2000,0.0
9,5,2001,0.0
